Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CS,Geo_CT,Geo_BG,Geo_PLACE,Geo_CD,Geo_SLDUC,Geo_SLDLC,Geo_MSAMSA,Geo_CSA,SE_T001_001,SE_T002_001,SE_T011_001,SE_T012_001,SE_T003_000,SE_T003_001,SE_T004_000,SE_T004_001,SE_T013_001,SE_T013_002,SE_T014_001,SE_T014_002,SE_T015_000,SE_T015_001,SE_T015_002,SE_T016_000,SE_T016_001,SE_T016_002,SE_T017_000,SE_T017_001,SE_T017_002,SE_T018_000,SE_T018_001,SE_T018_002,SE_T019_000,SE_T019_001,SE_T019_002
"36001","Albany County","Albany County, New York","00","36","001",,,,,,,,,,314848,304204,10644,3.49896779792508,314848,602.132870053572,304204,581.776690980337,10644,20.356179073235,3.49896779792508,3.49896779792489,146131,132812,13319,137739,126251,11488,8392,6561,1831,6.0926825372625,5.19679052047112,15.9383704735376,6.88338275267597E-15,-0.77401278997562,0.774012789975627
"36003","Allegany County","Allegany County, New York","00","36","003",,,,,,,,,,46456,48946,-2490,-5.08723899807952,46456,45.1276537602872,48946,47.5464002618568,-2490,-2.41874650156959,-5.08723899807952,-5.08712854863586,23454,17668,5786,26140,18208,7932,-2686,-540,-2146,-10.2754399387911,-2.96572934973638,-27.0549672213817,2.66453525910038E-15,5.67473396459064,-5.67473396459064
"36005","Bronx County","Bronx County, New York","00","36","005",,,,,,,,,,1472654,1385108,87546,6.32051796683002,1472654,34920.3000425609,1385108,32844.3659891268,87546,2075.9340534341,6.32051796683002,6.3205179668298,547030,522450,24580,511896,483449,28447,35134,39001,-3867,6.86350352415334,8.06724183936672,-13.5937005659648,7.54951656745106E-15,1.06382846416393,-1.06382846416392
"36007","Broome County","Broome County, New York","00","36","007",,,,,,,,,,198683,200598,-1915,-0.954645609627215,198683,281.564918248983,200598,284.279131137338,-1915,-2.71421288835495,-0.954645609627215,-0.954770361614651,92569,82088,10481,90562,82166,8396,2007,-78,2085,2.21616130385813,-0.0949297763065015,24.8332539304431,3.99680288865056E-15,-2.05136827331835,2.05136827331836
"36009","Cattaraugus County","Cattaraugus County, New York","00","36","009",,,,,,,,,,77042,80317,-3275,-4.07759253956199,77042,58.8932828350442,80317,61.3969399733032,-3275,-2.503657138259,-4.07759253956199,-4.07782071768992,40152,31863,8289,41111,32263,8848,-959,-400,-559,-2.33270900732164,-1.23981030902272,-6.31781193490054,-2.77555756156289E-15,0.87816773020567,-0.878167730205673
"36011","Cayuga County","Cayuga County, New York","00","36","011",,,,,,,,,,76248,80026,-3778,-4.720965686152,76248,110.251465783591,80026,115.71429809041,-3778,-5.462832306819,-4.720965686152,-4.72096568615122,36660,31328,5332,36489,31445,5044,171,-117,288,0.468634382964729,-0.37207823183336,5.70975416336241,2.77555756156289E-15,-0.721118608083082,0.721118608083085
"36013","Chautauqua County","Chautauqua County, New York","00","36","013",,,,,,,,,,127657,134905,-7248,-5.37266965642489,127657,120.384350168744,134905,127.219303415669,-7248,-6.83495324692501,-5.37266965642489,-5.3725755945958,66247,53223,13024,66920,54244,12676,-673,-1021,348,-1.00567842199641,-1.88223582331686,2.74534553486904,-5.55111512312578E-15,-0.717737854955347,0.717737854955341
"36015","Chemung County","Chemung County, New York","00","36","015",,,,,,,,,,84148,88830,-4682,-5.27074186648655,84148,206.582655960181,88830,218.076927900162,-4682,-11.494271939981,-5.27074186648655,-5.27074186648632,38985,35242,3743,38369,35462,2907,616,-220,836,1.60546274336053,-0.620382381140376,28.7581699346405,-1.33226762955019E-15,-2.02469975131592,2.02469975131592
"36017","Chenango County","Chenango County, New York","00","36","017",,,,,,,,,,47220,50477,-3257,-6.45244368722388,47220,52.8428774838877,50477,56.4877155178781,-3257,-3.6448380339904,-6.45244368722388,-6.45244368722405,24210,19897,4313,24710,20436,4274,-500,-539,39,-2.02347227842979,-2.63750244666275,0.912494150678521,-1.11022302462516E-14,-0.518311462949572,0.518311462949561
"36019","Clinton County","Clinton County, New York","00","36","019",,,,,,,,,,79843,82128,-2285,-2.78224235339957,79843,76.9384837441394,82128,79.1403603689576,-2285,-2.2018766248182,-2.78224235339957,-2.78224235339958,37315,32583,4732,35888,31582,4306,1427,1001,426,3.97625947391886,3.16952694572858,9.89317231769624,-6.88338275267597E-15,-0.682787798614648,0.682787798614641
